Opinion_Phrases,Relevant_Words,Sentiment_Expressions,Aspect,Product,Sentiment,Reviews
signal drops constantly,"works, drops, are, is, advanced, are, monitoring, think, dealing, is","horrible, poor, available, unavailable, problematic, normal",signal,router,NEGATIVE,"Con:  Wireless G  signal drops constantly   Stock firmware and GUI are horrible  Customer support is poor, if available at all  Some advanced features are unavailable or problematic  No monitoring support  Pricey Customers shouldnt think that dealing with all of these problems is normal.  "
drop the wireless signal,"started, drop","few, wireless",signal,router,NEGATIVE,"However, after a few weeks, it started to  drop the wireless signal .  "
stopped transmitting a signal,"worked, stopped, transmitting",great,signal,router,NEGATIVE,"It worked great for 2 days, then  stopped transmitting a signal .  "
signal strength is weak,"is, is","bad, weak",signal,router,NEGATIVE,"The setup is not bad, but the  signal strength is weak .  "
signal has been down,"noticed, has, been","wireless, few, wireless",signal,router,NEGATIVE,"I noticed couple of times the wireless  signal has been down  but then in a few seconds, my wireless laptop reconnects.  "
signal was gone,"be, using, show, was, gone","wireless, sudden",signal,router,NEGATIVE,"Id be using my wireless laptop and all of a sudden, the laptop would show that the  signal was gone .  "
signal bars were fluctuating,"get, were, was","mere, dry, fluctuating, wrong",signal,router,NEGATIVE,"The  signal bars were fluctuating , as if there was something wrong with the transmitter.  "
signal strength is very weak,is,weak,signal,router,NEGATIVE,The  signal strength is very weak .  
interfer with the signal,"checked, interfer",external,signal,router,NEGATIVE,<p>Btw: We checked wether the external radiolink could  interfer with the signal .  
resets its signal,"stopped, working, started, making, resets, s","few, weird, high, pitched, due",signal,router,NEGATIVE,"It stopped working and started making a weird high pitched sound, due to my Time Warner cable which  resets its signal  every 612 months.  "
not transmit a wireless signal,"did, transmit, did",wireless,signal,router,NEGATIVE,"Not only did it  not transmit a wireless signal , it didnt route!  "
itterupted the wireless signal,"bought, set, seemed, work, itterupted, required, restart",wireless,signal,router,NEGATIVE,I bought the range extender and set it up and it seemed to work for about an hour when it  itterupted the wireless signal  and required me to restart the network.  
difficult to maintain a signal,"is, maintain",difficult,signal,router,NEGATIVE,However it is very  difficult to maintain a signal .  
had very weak signal,"is, appears, be, extending, had","only, least, wireless, weak",signal,router,NEGATIVE,"The only upside is that the WRE54G appears, by inspection, to at least be extending my wireless networks range into areas of my house that  had very weak signal  strength previously.  "
get marginal signal,"is, get, sitting, drops, have, spend, getting, work",marginal,signal,router,NEGATIVE,Problem is that I still  get marginal signal  sitting only 2 feet away from the router and it still drops connection every half hour and I have to spend a lot of time getting back to work.  
cannot acquire a steady signal,"is, acquire, is","Several, specific, poor, steady, unobstructed, such",signal,router,NEGATIVE,"Several specific critiques: the range on the router is poor; the expander  cannot acquire a steady signal  from the router, unless it is in an unobstructed line of sight without things such as refrigerators, walls, etc.  "
cant get a wireless signal,"get, have","few, wireless",signal,router,NEGATIVE,"Every few months, I  cant get a wireless signal , so I have to cycle power.  "
signal was just about useless,"got, had, was",useless,signal,router,NEGATIVE,"If I got further than 30 feet from the router and had any obstructions, the  signal was just about useless .  "
restrictions on signal power,"dont, know, are, seemes, allow","legal, current, further",signal,router,NEGATIVE,I dont know if there are legal  restrictions on signal power  but it seemes that current technology should allow further range for a signal expander.  
could never get more than 35 signal,"worked, get","wireless, okay, more",signal,router,NEGATIVE,"The wireless connection worked okay, but I  could never get more than 35 signal  (40 feet, 2 walls between).  "
having issues with my signal,"works, s, have, been, having, dropping","fine, wireless, weak",signal,router,NEGATIVE,"The desktop works fine as its not wireless,  but I have been  having issues with my signal  dropping on the laptops, and another issue with weak signal strength.  "
have a weak signal,"appears, is, dropping, have, m","weak, right",signal,router,NEGATIVE,"It appears that my connection is no longer dropping, but I still  have a weak signal  when Im right next to the router.  "
disappointed that the wireless signal,"worked, was, disappointed, was, was","first, wireless, better, old, primary",signal,router,NEGATIVE,Router worked adequately during the first 5 months  I was  disappointed that the wireless signal  was no better than an old Belkin G router  that was the primary reason for my upgrade.  
could not acquire a satellite signal,"bought, acquire",first,signal,router,NEGATIVE,The first unit I bought  could not acquire a satellite signal .  
drops the wireless signal,"s, drops","true, wireless",signal,router,NEGATIVE,Its true that the router  drops the wireless signal  constantly.  
get low strength signal,"get, connect","low, wireless",signal,router,NEGATIVE,I  get low strength signal  when I connect to this router through a wireless network card in my laptop.  
looses Satellite signal,looses,older,signal,router,NEGATIVE,This unit also  looses Satellite signal  much more often than our older Garmin.  
constantly drops signal,"drops, give",proper,signal,router,NEGATIVE,"The WNDR3700 router  constantly drops signal , cannot even give proper wifi speeds to anything (i.  "
interference from other signal,"ve, bought, say, s, ve, tried, switch","other, other, such, double",signal,router,NEGATIVE,"From what most other customers whove bought the item say on forums its because of  interference from other signal  and such so Ive also tried to switch channels and double check settings, but no help.  "
loose all wireless signal,"lock, loose",wireless,signal,router,NEGATIVE,Every 34 days the device will lock up and I will  loose all wireless signal .  
had no signal,"starting, losing, had",wireless,signal,router,NEGATIVE,"Ocassionally, then we  had no signal .  "
signal is unavailable,"sit, is",unavailable,signal,router,NEGATIVE,You can literally sit a laptop right next to this unit and the  signal is unavailable .  
unable to get enough signal,"Was, get, go","unable, enough",signal,router,NEGATIVE,Was  unable to get enough signal  strength to go 200 ft.  
interferes with signal,"is, interferes",ceramic,signal,router,NEGATIVE,"This is only one wall, maybe fireplace and floor, unless ceramic tile  interferes with signal .  "
puts out a low signal,"have, puts","small, low",signal,router,NEGATIVE,We have a very small house and it  puts out a low signal .  
drop off the WiFi signal,"worked, started, having, drop","great, several",signal,router,NEGATIVE,"Bought Router, worked great for several months, then I started having devices  drop off the WiFi signal .  "
dropping the WiFi signal,"is, start, dropping","good, few",signal,router,NEGATIVE,"Reset router and all is good for a few weeks, then devices start  dropping the WiFi signal  again.  "
lose significant signal,"are, using, lose",significant,signal,router,NEGATIVE,"you are using the router in yor house or apartment, you will  lose significant signal  strength.  "
weak signal,"did, find, complained",weak,signal,router,NEGATIVE,I didnt find this out until I complained to customer service about the  weak signal  at only 30 feet from the router.  
loss of signal,"Compared, s, do, have, worry, enter","cellular, more, accurate",signal,router,NEGATIVE,Compared with cellular navigation systems its more accurate and you dont have to worry about  loss of signal  unless you enter a tunnel.  
signal clarity worse,makes,worse,signal,router,NEGATIVE,"In fact, it makes  signal clarity worse .  "
signal dropping out,"am, have, had, dropping","wireless, several",signal,router,NEGATIVE,"However, I am one of the people who have had issues with it, namely the wireless  signal dropping out  several times a day.  "
